Rank,School_Name,School_Code,Grade_A,Grade_B,Grade_C,Grade_D,Grade_F,Total_Students,Failure_Rate (%)
1,Feza Girls Secondary School,s0298,66,7,5,1,0,79,0
2,Canossa Secondary School,s2325,90,8,2,1,0,101,0
3,Jangwani Secondary School,s0189,53,9,8,0,1,71,1.41
4,Dynamic Secondary School,p3097,0,0,0,5,12,17,70.59
5,St.Mary's Secondary School,s4173,0,0,4,5,98,107,91.59
6,Mivumoni Secondary School,s5777,4,3,10,21,138,176,78.41
7,Mbezi Secondary School,s6054,4,5,23,20,206,258,79.84
8,Kawe Ukwamani Secondary School,s4210,1,6,6,14,208,235,88.51
9,Kondo Secondary School,s1022,6,11,18,23,264,322,81.99
10,Bunju'A' Secondary School,s4026,30,22,41,38,287,418,68.66
